wallet_id,aggregated_lp_score,num_deposits,num_withdrawals,avg_holding_days,min_holding_days,max_holding_days,liquidity_percent_remaining,retained_liquidity,lp_volatility_stddev,dust_deposit_count,dust_deposit_volume,total_deposit_all_time,total_withdraw_all_time
0x0b44dadd53e1f4b43b40f2862b8fe10864147092,446.2,4.0,2.0,7.79828125,0.836446759,14.76011574,0.000175504,0.036568842,0.0,0.0,0.0,208.36527,208.3287012
0x0a5abc4eef196994abb9cd34fa8fe9229ce53e4f,54.05,6.0,3.0,0.0,0.0,0.0,0.0,-3.807232777,0.0,3.0,3.764226766,0.0,3.807232777
0x09ec8c9fd8dbc3d0c24afbc835785d68e0d1f247,325.45,2.0,1.0,1.034212963,1.034212963,1.034212963,1.70281e-05,0.017263,0.0,0.0,0.0,1013.79564,1013.778377
0x09cc15dda77789d42c0133c909e88fb6e3af793a,358.8,2.0,1.0,10.21607639,10.21607639,10.21607639,0.0,-0.052351,0.0,0.0,0.0,445.916487,445.968838
0x09d66bddcc5ee7795108165a2b1048a35b1012ec,387.55,2.0,1.0,28.01871528,28.01871528,28.01871528,0.0,-3.963711,0.0,0.0,0.0,2394.626938,2398.590649
0x0b73d5e04f37c9be1ef1d867ae0b7eb1b35a2778,284.05,4.0,2.0,2.460237269,1.135983796,3.784490741,0.0,-3.898797,5163.285543,0.0,0.0,21360.18313,21364.08192
0x0a59cf55cde7d4341131ecb75daddcf1ce6c63ff,305.9,2.0,1.0,0.908506944,0.908506944,0.908506944,0.0,-0.031400066,0.0,0.0,0.0,259.2608966,259.2922967
0x0950ef15baf34ef06733102008bedca0c52da735,354.2,2.0,1.0,5.983020833,5.983020833,5.983020833,0.0,-0.016783,0.0,0.0,0.0,140.437571,140.454354
0x0a70589d299fab2b12cca68bf499057bd3ddcae5,517.5,4.0,1.0,583.4985763,0.355787037,1166.641366,0.0,-0.811585,0.0,0.0,0.0,17874.96581,17875.77739
0x0ab41ae91238e043f7d1432baac95a809d2fa2ee,363.4,2.0,1.0,12.26733796,12.26733796,12.26733796,0.0,-0.102649,0.0,0.0,0.0,181.392898,181.495547
0x0bd5c76a0621874323726f1f6eaf4d933307da26,66.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.249247132,0.0,0.0
0x0b493af26fa61e5ff84290ca934b7c85e3195505,52.9,5.0,3.0,0.0,0.0,0.0,0.0,-10.973682,0.0,3.0,10.964904,0.0,10.973682
0x0bd932f830f11071cbe90165bf2cd2670ab7c11d,60.95,7.0,1.0,0.0,0.0,0.0,0.0,-12.033915,0.0,4.0,13.482794,0.0,12.033915
0x0a860ab1098d2d0f16e58e4b4e58e39229391928,52.9,8.0,1.0,0.0,0.0,0.0,0.0,-1.153532,0.0,4.0,1.206765914,0.0,1.153532
