wallet_id,reason,metric,value
0x4fbf6dc7b6b8e75c9a4cc3658543cfd9cf9e0a9d,Unexpected behaviour due to min_holding_days,min_holding_days,230.891412
0x4fbf6dc7b6b8e75c9a4cc3658543cfd9cf9e0a9d,Unexpected behaviour due to max_holding_days,max_holding_days,230.891412
0x4fbf6dc7b6b8e75c9a4cc3658543cfd9cf9e0a9d,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,39063.06188
0x4fbf6dc7b6b8e75c9a4cc3658543cfd9cf9e0a9d,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,12956.89307
0x4fbf6dc7b6b8e75c9a4cc3658543cfd9cf9e0a9d,Unexpected behaviour due to avg_holding_days,avg_holding_days,230.891412
0x4fbf6dc7b6b8e75c9a4cc3658543cfd9cf9e0a9d,Unexpected behaviour due to num_deposits,num_deposits,6.0
0x51262fe9f166a80aae0207c230a6639a256d556f,Unexpected behaviour due to min_holding_days,min_holding_days,1061.809008
0x51262fe9f166a80aae0207c230a6639a256d556f,Unexpected behaviour due to max_holding_days,max_holding_days,1061.811045
0x51262fe9f166a80aae0207c230a6639a256d556f,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,394.124906
0x51262fe9f166a80aae0207c230a6639a256d556f,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,0.0
0x51262fe9f166a80aae0207c230a6639a256d556f,Unexpected behaviour due to avg_holding_days,avg_holding_days,1061.810026
0x51262fe9f166a80aae0207c230a6639a256d556f,Unexpected behaviour due to num_deposits,num_deposits,6.0
0x538f80ce2a512c47370beff202adaf36dc20caaf,Unexpected behaviour due to min_holding_days,min_holding_days,0.58755787
0x538f80ce2a512c47370beff202adaf36dc20caaf,Unexpected behaviour due to max_holding_days,max_holding_days,7.799780093
0x538f80ce2a512c47370beff202adaf36dc20caaf,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,2639217.345
0x538f80ce2a512c47370beff202adaf36dc20caaf,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,252020.0551
0x538f80ce2a512c47370beff202adaf36dc20caaf,Unexpected behaviour due to avg_holding_days,avg_holding_days,2.299261364
0x538f80ce2a512c47370beff202adaf36dc20caaf,Unexpected behaviour due to num_deposits,num_deposits,22.0
0x555aaeec94237458ba03e92184fb4f4a1d630f46,Unexpected behaviour due to min_holding_days,min_holding_days,957.6641012
0x555aaeec94237458ba03e92184fb4f4a1d630f46,Unexpected behaviour due to max_holding_days,max_holding_days,957.6641012
0x555aaeec94237458ba03e92184fb4f4a1d630f46,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,221593.4327
0x555aaeec94237458ba03e92184fb4f4a1d630f46,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,0.0
0x555aaeec94237458ba03e92184fb4f4a1d630f46,Unexpected behaviour due to avg_holding_days,avg_holding_days,957.6641012
0x555aaeec94237458ba03e92184fb4f4a1d630f46,Unexpected behaviour due to num_deposits,num_deposits,2.0
0x54bfe50fd91eb26e8f68c7c055041b20b11ba218,Unexpected behaviour due to min_holding_days,min_holding_days,313.9858102
0x54bfe50fd91eb26e8f68c7c055041b20b11ba218,Unexpected behaviour due to max_holding_days,max_holding_days,313.9858102
0x54bfe50fd91eb26e8f68c7c055041b20b11ba218,Unexpected behaviour due to total_deposit_all_time,total_deposit_all_time,5349.56116
0x54bfe50fd91eb26e8f68c7c055041b20b11ba218,Unexpected behaviour due to lp_volatility_stddev,lp_volatility_stddev,7463.137614
0x54bfe50fd91eb26e8f68c7c055041b20b11ba218,Unexpected behaviour due to avg_holding_days,avg_holding_days,313.9858102
0x54bfe50fd91eb26e8f68c7c055041b20b11ba218,Unexpected behaviour due to num_deposits,num_deposits,2.0
0x5636faeee9e1e8c01e257b64126bf24d62b2ef87,Unexpected behaviour due to min_holding_days,min_holding_days,157.0346644
